                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.49,                 2.9361,                 1.7361,                0.00533,                      1,                0.12113,                 0.0611,                  1.205,                 3.2454,                 1.7751,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.6658,                 3.0841,                 1.6762,                0.00533,                      1,                0.14801,                0.08646,                 1.1601,                 3.2281,                 1.8816,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.3618,                 2.9585,                 1.6336,                0.00533,                      1,                0.21375,                0.10868,                 1.4174,                 3.2398,                 2.0281,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.4089,                 2.5787,                 1.5675,                0.00533,                      1,                0.58372,                0.27341,                 1.3726,                 3.3314,                 2.0154,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.4015,                 2.1651,                 1.5663,                0.00533,                      1,                0.41055,                0.16282,                 1.6217,                 3.3996,                 2.3131,             0.00036495,             0.00036495,             0.00036495
                      6,                  1.296,                 1.9487,                 1.4827,                0.00467,                  0.875,                0.17507,                0.08201,                 1.9696,                 3.5694,                 2.5388,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.4687,                 2.2403,                 1.7058,                0.00533,                      1,                0.16345,                0.06215,                 1.8645,                 3.8792,                 2.5434,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.2422,                 2.0259,                 1.3772,                0.00533,                      1,                0.29302,                0.13945,                 1.8071,                 3.5644,                 2.3863,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4131,                 1.8795,                 1.6072,                  0.004,                   0.75,                0.12101,                0.05039,                 2.3102,                 3.4164,                 3.1543,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.3715,                 1.8307,                   1.58,                  0.004,                   0.75,                0.11868,                0.05006,                 2.1264,                 3.6048,                 2.8663,              0.0007105,              0.0007105,              0.0007105
                     11,                  1.338,                 1.8684,                 1.5225,                 0.1707,                    0.5,                0.27213,                0.09562,                 2.1302,                 3.5929,                 2.7482,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.5117,                 1.8714,                 1.5694,                0.48458,                   0.25,                0.29096,                0.08988,                 1.8849,                 3.5476,                 2.7932,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.6329,                  2.038,                 1.5917,                0.38656,                   0.25,                 0.1325,                0.05846,                 2.3496,                 3.6477,                 3.4271,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.5784,                 1.8552,                 1.6908,                0.38935,                   0.25,                0.23403,                0.12063,                 2.2184,                 3.3037,                 3.4842,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.3275,                 1.6306,                 1.4505,                0.16765,                0.30424,                0.11016,                0.03603,                 2.7227,                 3.7037,                 5.0586,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.2846,                   1.83,                 1.5724,                0.33098,                0.12412,                0.11016,                0.03142,                 2.6084,                 3.6672,                 5.2642,              0.0010729,              0.0010729,              0.0010729
                     17,                  1.425,                 1.7267,                 1.5028,                0.19854,                  0.375,                0.14784,                0.04419,                 2.7868,                 3.5794,                  5.558,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.4601,                 1.7258,                 1.5448,                0.25954,                  0.375,                0.24318,                0.09275,                 2.4192,                 3.4131,                   4.13,               0.001181,               0.001181,               0.001181
                     19,                 1.2813,                 1.7832,                 1.5128,                0.28501,                  0.375,                0.21442,                0.10733,                 2.3024,                 3.6623,                 3.2554,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.5437,                 1.7665,                 1.7287,                0.27629,                   0.25,                0.19718,                0.10993,                 2.1035,                 3.7669,                 2.8798,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.4571,                  1.641,                 1.4699,                0.10436,                   0.25,                0.04814,                0.02179,                 2.8767,                 3.6703,                 4.0998,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.4475,                 1.6491,                 1.5289,                 0.1358,                  0.375,                0.11131,                0.04059,                 2.8075,                 3.7517,                 5.0521,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.7787,                 2.1487,                 1.9016,                0.20797,                  0.375,                 0.2082,                0.07697,                 2.6496,                 4.6163,                 4.5439,              0.0014236,              0.0014236,              0.0014236
                     24,                 1.3961,                 1.6958,                 1.5529,                0.56587,                   0.25,                0.23886,                0.10371,                 2.4897,                  5.476,                   4.43,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.4813,                 1.7915,                 1.5659,                0.41473,                   0.25,                0.28322,                0.08388,                 2.5255,                 5.4136,                 4.6502,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.4381,                 1.7824,                 1.5163,                0.49906,                  0.375,                0.31621,                0.08808,                 2.5577,                 5.6788,                 3.9924,               0.001505,               0.001505,               0.001505
                     27,                 1.4155,                 1.7748,                 1.5382,                 0.6562,                  0.375,                0.36353,                0.12057,                 2.5974,                  5.234,                 4.2233,               0.001505,               0.001505,               0.001505
                     28,                  1.261,                 1.5248,                 1.4836,                0.40566,                   0.25,                0.20473,                0.10945,                 2.6338,                 5.0819,                 4.1232,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2736,                 1.4975,                 1.4388,                0.24379,                   0.25,                0.20313,                 0.0964,                 2.6099,                 5.2989,                  3.247,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2199,                 1.4403,                 1.4505,                0.32821,                   0.25,                0.20104,                0.06069,                 2.2597,                  5.202,                 3.2985,              0.0014456,              0.0014456,              0.0014456
