                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.39,                 3.7273,                 3.0047,                 1.4397,                  0.004,                      1,                0.25502,                 0.0405,                  0.004,                      1,                0.21711,                0.05548,                0.86738,                 2.5486,                 3.6492,                 1.3143,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.4733,                 3.2665,                 2.9859,                 1.4862,                  0.004,                      1,                0.31321,                0.09443,                  0.004,                      1,                0.31888,                0.10716,                0.84966,                 2.5273,                  3.565,                 1.3594,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.3191,                 3.2341,                 2.6815,                 1.3573,                  0.004,                      1,                0.49173,                0.20497,                  0.004,                      1,                0.53136,                0.26539,                0.87494,                 2.5549,                 3.4886,                 1.3181,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.3264,                  2.787,                 2.1077,                 1.3635,                  0.004,                      1,                0.69643,                0.33544,                  0.004,                      1,                0.57054,                0.33489,                 1.0257,                 2.7352,                 3.4457,                 1.4469,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.3926,                 2.7921,                  1.889,                 1.3787,                  0.004,                      1,                0.66136,                 0.3383,                  0.004,                      1,                0.66136,                0.38991,                 1.0398,                 2.7751,                 3.5253,                 1.4937,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.4165,                 2.7153,                 2.0187,                 1.3538,                  0.004,                      1,                0.62031,                0.41892,                  0.004,                      1,                0.62031,                0.39379,                 1.0228,                 2.2581,                 3.3361,                 1.5382,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.3672,                 2.4762,                 2.1184,                 1.4628,                  0.004,                      1,                0.34939,                0.19412,                  0.004,                      1,                0.32751,                0.20117,                 1.1574,                 2.1052,                 3.4416,                 1.5061,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.2774,                 2.6317,                 1.6864,                    1.3,                 0.2637,                0.30252,                0.22699,                0.10769,                 0.2637,                0.30252,                0.23335,                 0.0758,                 1.2939,                 2.3717,                 3.5311,                 1.8134,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.3916,                  2.551,                 1.6249,                 1.3366,                0.36902,                0.33333,                0.22634,                0.07985,                0.36902,                0.33333,                0.23205,                 0.0967,                 1.3671,                 2.5679,                 3.6871,                 1.9908,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.4092,                 2.7934,                 1.6681,                 1.3847,                0.58756,                0.33333,                 0.2956,                0.09973,                0.58756,                0.33333,                0.24486,                 0.1287,                 1.4052,                  2.267,                 3.4583,                 1.9257,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.3489,                 2.6075,                 1.7838,                 1.3284,                0.21636,                0.16667,                0.13784,                0.09151,                0.55017,                0.33333,                0.29814,                0.06497,                 1.5107,                 2.3602,                 3.7012,                 1.7724,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.3006,                 2.4619,                 1.5268,                 1.2744,                0.81391,                0.33333,                0.53277,                0.15177,                0.81391,                0.33333,                0.44656,                  0.134,                  1.657,                  2.523,                  3.616,                 2.2811,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.3495,                 2.6537,                 1.6542,                 1.3392,                0.90868,                0.33333,                0.50833,                0.15127,                0.90868,                0.33333,                0.49011,                0.18224,                 1.5087,                 2.8113,                 3.4662,                 2.1489,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.5393,                 2.8314,                 1.7296,                 1.5286,                0.94556,                    0.5,                0.60611,                0.18474,                0.75619,                0.52064,                0.70433,                0.22597,                 1.5319,                 2.9084,                 3.3222,                 1.9392,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.2306,                  2.388,                 1.4644,                 1.2408,                0.32917,                    0.5,                0.27336,                0.13639,                0.32917,                    0.5,                0.28898,                 0.1474,                 1.5946,                 2.1961,                 3.7286,                 1.8021,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.2853,                 2.3871,                 1.5895,                  1.339,                0.18163,                0.16667,                0.09733,                 0.0528,                0.18163,                0.16667,                0.10322,                0.06226,                 1.6682,                 1.9473,                 4.2782,                 2.3143,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.3447,                 2.2917,                   1.42,                 1.2869,                0.03962,                0.33333,                0.05929,                0.02315,                0.11524,                    0.5,                0.08857,                0.03263,                 1.8938,                 2.4352,                  4.745,                 2.6925,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.4153,                 2.4559,                 1.4882,                  1.294,                0.31336,                0.16667,                0.13166,                 0.0491,                0.08794,                0.33333,                0.06574,                0.02401,                  1.465,                  2.454,                 5.9602,                 2.3114,               0.001181,               0.001181,               0.001181
                     19,                 1.3655,                 2.5994,                 1.3862,                 1.3187,                0.27459,                0.33333,                0.16173,                0.04474,                0.11341,                    0.5,                0.09355,                0.02268,                 1.6414,                 2.6059,                 5.0457,                 2.4321,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.3714,                 2.4235,                 1.4851,                 1.2928,                0.42377,                0.16667,                0.14205,                0.05533,                0.05067,                0.33333,                0.07322,                0.02509,                 1.5061,                 2.5744,                  5.001,                 2.3777,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.4581,                 2.3952,                 1.4811,                 1.2819,                0.19425,                0.66667,                 0.1815,                0.04717,                0.09981,                0.33333,                0.06392,                0.02864,                 1.8236,                 2.5454,                 7.2476,                  2.621,              0.0013313,              0.0013313,              0.0013313
                     22,                  1.418,                 2.4694,                 1.4173,                 1.3008,                0.11001,                    0.5,                0.09702,                0.02883,                0.12155,                0.16667,                0.06116,                0.02509,                 1.8581,                 2.6826,                 6.5562,                 2.5637,              0.0013783,              0.0013783,              0.0013783
